参考汉字	参考读音	简要解释
毛十个	mau13zeh4keh21	
十个出头	zeh21keh4 tsheh21dei44	
十七八个	zeh21tshih4pah4keh21	
头二十个	dei13nyi44zeh4keh21	
二三十个	nyi21se44zeh4keh21	
三四十个	se32sy21zeh21keh23	
七八十个	tshih5pah5zeh5keh5	
一两百个	ih32lian21pah21keh23	
三五百个	se32ng21pah21keh23	
七八百个	tshih5pah5pah5keh5	
一两万个	ih32lian21ve21keh23	
三五万个	se32ng21ve21keh23	
千百万	tshie32pah21ve23	
千千万万	tshie32tshie21ve21ve23	
半个	poe33keh4	
一半	ih32poe23	
一大半	ih21dou44poe21	
一小半	ih32siau21poe23	
一个半	ih5keh5 poe34	
两个半	lian21keh4 poe34	
两半爿	lian21poe44be21	两半：西瓜拨[peh]我勿用心掼成~咧。
半斤	poe33cin44	
斤把	cin32pu23	
一斤半	ih21cin44 poe34	
一倍	ih32be23	
两倍	lian13be21	
十倍	zeh21be44	
一百倍	ih5pah5be55	
一成	ih21zen44	
两成	lian13zen21	
八成	pah21zen44	
两分之一	lian21fen44tsyu21-44 ih5	
百分之分	pah21fen44tsyu21-44 pah5	
近三十	jin13 se44seh21	
三十勿到	se44seh21-4 feh32tau23	
勿到三十	feh21tau44se44seh21	
三十超过	se44seh4tshau44kou21	
超出三十	tshau44tsheh4se44seh21	
满三十	moe13se44seh21	
三十以下	se44seh4i44wu13	
三十朝下	se44seh4 zau113-13wu13	
三十以上	se44seh4 i44zan13	
三十朝上	se44seh4 zau113-13zan13	
五十左右	ng13seh4tsou44yeu21	
五十上下	ng13seh4zan44wu21	
有星[记音]	yeu13sin21	有一些：~事体你勿懂个。
一眼眼[记音]	ih21nge44nge21	少，一点点：端上来个盘子就~大。
一笃笃[记音]	ih5toh5toh5	一点点。
一屑屑[记音]	ih5sih5sih5	一点点。
一点点	ih21tie44tie21	
一咪咪[记音]	ih21mi44mi21	一点点。
一滴滴[记音]	ih5tih5tih5	一点点。
一短短	ih21toe44toe21	很短的一段：伊根木头就~，呒不用个。
勿一样	feh5ih5yan55	
一顿当[记音]	ih32ten21taon23	一下子，一齐：伊点事体你就~全部讲出来吧。
成千上万	zen13tshie44zan44ve21	
一天世界	ih32thie21syu21ka23	一塌糊涂：房间里向弄到~。
一包气	ih21pau44 chi34	一肚子气：我是拨[peh]佗讲到肚皮里~。
一本正经	ih32pen21tsen21cin23	
一生一世	ih32san21ih21syu23	
一并排	ih32pin21ba23	平行排列：你俚就搭我~立好，勿允许讲闲话。
一问三勿知	ih32men21se21feh21tsyu23	
一冷一热	ih32lan23-44 ih5nyih5	手冷之后又受热：~，你哪会覅生病呢？
一屄吊糟[记音]	ih32pi21tiau21tsau23	形容很啰嗦，很小气的样子。
一家老小	ih32ka21lau21siau23	
一家罗门[记音]	ih32ka21lou21men23	
一埭路路	ih32da21lou21lou23	沿路：我已经~寻过来咧，呒不寻着。
一排连牵	ih32ba21lie21chie23	连着一排：~侪是佗个房子。
一搭一档	ih5tah5ih5taon55	
一塌泥糊涂[记音]	ih5thah5nyi55wu55dou55	
一塌糊涂	ih5thah5wu55dou55	
一摊屎	ih21the44 sy323	形容情况很糟糕：事体现在真真是~。
一筑斩齐[记音]	ih5tsoh5tse5zi55	形容很整齐：书放到~。
一落板齐[记音]	ih5loh5pe55zi55	见ih tsoh tse zi。
半二勿来三	poe44nyi44feh4nyi44se21	半吊子：你个人正经点，老是~。
半二勿三	poe44nyi44feh4se21	见poe nyi feh le se。
勿二勿三	feh32nyi21feh21se23	不三不四：你看佗~个样子。
勿三勿四	feh21se44feh4sy21	见feh nyi feh se。
三不两头	se32peh21lian21dei23	三天两头：佗~寻我麻烦。
三天两头	se32thie21lian21dei23	见se peh lian dei。
三只手节头捏只田螺	se44tsah4 shieu33tsih4dei44 nyah21tsah4 die13lou21	形容办事十拿九稳。
三步路	se44bou21-44 lou213	形容路程很短，就在附近：就~，你去一埭好咧。
半痴三癫	poe44tshyu44se44tie21	疯疯癫癫的样子：佗个人有点~个。
老三老四	lau13se44lau44sy21	形容说话不讲理或强词夺理：你再~试试看，拨[peh]顿生活你吃吃。
怨三怨四	ioe21se44ioe44sy21	一味埋怨：一天到晚~，烦煞落咧。
五筋狠到六筋	ng21cin44 hen323-23tau44 loh21cin44	形容用力用劲的样子：你哪亨[na han]啊，凶巴巴里，~？
撬五撬六[记音]	jiau21ng44jiau44loh21	形容不听话的样子：你个佬小老是~勿肯听闲话。
六月里个债	loh21nyuih4li44keh21-44 tsa34	歇后语“六月里个债——还得快”，指报复或报应来得快。
六十岁学打拳	loh21seh4se44 ghoh13 tan33jioe44	形容人年纪大了还要学艺。
投五投六[记音]	dei21ng44dei44loh21	焦急地四处找门路，想办法的样子：佗到定定心心，我弄到~吃力脱。
七勿老三牵	tshih5feh5lau55se55chie55	形容说话不成体统：你个人讲出闲话来~个。
七七八八	tshih5tshih5pah5pah5	差不多：我论文做得~咧。
七手八只脚	tshih32shieu23 pah5tsah5ciah5	形容人多手杂：覅你俚帮忙，~，乱七八糟。
七嘴八搭	tshih32tsyu21pah21tah23	七嘴八舌：安静点，覅~。
七讲八讲	tshih32kaon21pah21kaon23	形容到处乱说：你覅去~，勿好个。
杂七杂八	zah21tshih4zah4pah21	杂乱的，零乱的：你拿伊点~个物事理理好。
七里缠到八里	tshih32li23 zoe13tau21-44 pah32li23	形容搞不清状况，全句完整为“七里缠到八里，蒲鞋着勒袜里”，人们多说前半句：你真真是~，弄勿清爽个咧。
七牵牵，八拉拉	tshih32chie21chie23 pah32la21la23	形容做事拖泥带水：~，你阿好做事体爽快点啊？
搞七搞八	gau21tshih4gau44pah21	指胡搅乱缠：你覅来~，我勿想理你。
七搭八搭	tshih5tah5pah5tah5	胡乱搭讪：你真会~的，随便啥人好讲闲话个。
歪七歪八	hua32tshih21hua21pah23	歪来歪去，不整齐：自行车放得~。
缠七缠八	zoe21tshih4zoe44pah21	指弄不清楚情况：你先听我讲，覅~。
搞七廿三	gau21tshih4nye44se21	见zoe tshih zoe pah。
十七十八，越掸越发	zeh21tshih4 zeh21pah4 yuih32de23-44 yuih21fah5	无锡风俗，过年前要掸檐尘，又腊月十七十八为吉日，故多在这两日进行。
十糊八搭	zeh21wu44pah4tah21	乱七八糟：本子娘[nyan]拨[peh]佗涂到~。
千有理百勿错	tshie32yeu21li23 pah5feh5tshou55	形容思考问题很主观，总以为自己是对的。
天干	thie32koe23	①中国古代的一种文字计序符号，共10个字：甲乙丙丁戊己庚辛壬癸，循环使用。②借指运气：你~蛮好个嘛。
地支	di21tsyu44	中国古代的一种文字计序符号，共12个字：子丑寅卯辰巳午未申酉戌亥，循环使用。
把	pu323	一~刀/一~伞/一~鼻涕/一~锁/一~钥匙/一`笤帚/拎一~/搀一~
本	pen323	一~书/一~账簿
笔	pih5	一~债/一~账/一~钞票
匹	phih5	牲口不用“匹”：一~布。
封	fon44	一~信
贴	thih5	一~药
道	dau213	一~菜
顶	tin323	一~桥/一~帐子/一~帽子
桩	tsaon44	一~事体
朵	tou323	一~花
顿	ten34	一~饭/一~生活（一顿打）
条	diau113	一~河/一~鱼/一~命/一~裤子/一~路/一~糕
部	bou13	一~车子/一~机器
枝	tsyu44	一~香/一~蜡烛/一~笔
只	tsah5	一~鸡/一~马/一~牛/一~羊/一~鸟/一~鞋子/一~篮头/一~房间
个	ih5	一~人/一~铜板/一~马桶
盏	tse323	一~灯
张	tsan44	一~台子/一~矮凳/一~纸头/一~钞票
桌	tsoh5	一~菜/一~麻将
场	zan13	一~病/一~雨/一~电影/苦一~
出	tsheh5	一~戏
管	koe323	一~枪/一~秤
根	ken44	一~木头/一~头发/一~油条/一~绳/一~线
〇[无字]	chion44	一股二两重的绒线为以一~：一~绒线。
棵	khou44	一~树/一~芹菜
粒	lih13	一~米/一~芝麻/一~珠珠
块	khue34	一~转头/一~石头/一~绢头/一~豆腐/一~洋钱
口	khei323	一~饭/一~气/一~牙齿/吃一~/尝一~
间	ke44	一~门面/一~房子
件	jie213	一~衣裳/一~行李
身	sen44	一~衣裳/一~汗
面	mie213	一~镜子/一~锣/一~旗
篇	phie44	一~文章
节	tsih5	一~竹头/一~火车
段	doe213	一~路/一~木头/一~故事
片	phie34	一~好心/一~糕
层	zen113	一~皮/一~壳壳头/伊个房子有六~。
盘	boe113	一~棋/一~带子/一~蚊衣香
盆	ben113	一~菜
门	men113	一~亲事/一~学问/一~课程
刀	tau44	一~草纸
扇	soe34	一~门/一~窗
幅	foh5	一~字/一~画
垛	tou323	一~墙头
爿	be113	一~店
瓣	be213	一~橘子
首	shieu323	一~歌
首	sei323	一~歌
记	ci34	一~耳光/打着一~/敲一~
声	sen44	一~闲话
座	zou213	一~山/一~宝塔
样	yan213	一~小菜/一~物事
批	phi44	一~货色
副	fu34	一~眼镜/一~手套/一~牌
对	te34	一~夫妻/一~枕头
双	saon44	一~筷子/一~洋袜/一~鞋子/一~手
套	thau34	一~房子/一~家生/一~家具
位	we213	一~同志
股	ku323	一~头发
行	ghaon113	一~字
窠	khou44	一~小鸡/一~蛋
帮	paon44	一~人/一~强盗
堆	te44	一~垃细[la si]/一~屎
筑堆	tsoh21te44	堆：一~人。
串	tshoe34	一~钥匙/一~葡萄/一~珠珠
包	pau44	一~物事/一~瓜子
卷	cioe323	一~挂面/一~底片
担	te34	一~米
排	ba113	一~座位
进	tsin34	一~房子
句	ciu34	一~闲话/一~句子
种	tson323	一~人
坒	bi213	层：一~砖头。
庹	thoh5	双臂张开伸直的长度。
错[记音]	tshou34	张开的大拇指和中指两端间的距离。
版	pe323	页：一~书。
沰	toh5	滴：一~汗。
囊	'''naon44'	瓣：一~橘子。
擎[记音]	jin113	级，用来修饰台阶：一~楼梯。
家	ka44	一~人家
杯	pe44	一~茶
碗	oe323	一~饭/一~肉/一~汤
笼	lon113	一~小笼馒头
桶	don13	一~水
缸	kaon44	一~水/一~米
吊子	tiau44tseh21	一~开水
镬子	ghoh21tseh4	一~饭/一~汤
钵头	peh21dei44	一~盐
篓头	lei13dei21	一~青菜
篮头	le13dei21	一~肉
勺	zah13	一~酱油
面孔	mie21khon44	一~个勿高兴
肚皮	dou21bi44	一~气
来兴[记音]	le13shin21	次数，回合：一~/两~
打	tan323	“十二个”为“一打”：一~啤酒。
趟	thaon34	来一~/走一~
埭	da213	趟：逃一~/去一~/走一~
转	tsoe34	走一~
介	ka34	次：做一~。
遍	pie34	读一~/看一~/做一~
寣	hueh5	睏一~（睡一觉）
一样个	ih32yan21keh23	似的，一样的：佗有一只苹果~面孔。
得	teh5	①助词，引出表示程度的补语：逃~快。②助词，引出表示可能的补语：拿~动。③助词，表示动作性质变化的实现：看~一歇书再去看电视。④获得：我~着个第二名。
过	kou34	助词，后置于动词，表示经历态：我看~伊本书。
来[记音]	le113	介词，引出对象，相当于“在”：~佗看来，伊件事体是佗娘做错咧。
勒娘的[记音]	leh4nyan44teh21	表示已然语气：辰光早~。
勒娘则[记音]	leh4nyan44tseh21	表示动作的持续：佗坐~，一动勿动。
着	zah13	助词，用在动词后面，表示达到目的或有了结果：被佗猜~咧喏。
叫	ciau34	类似于普通话的“地”，后置于少数叠音词：慢慢~。好好~。
里	li13	类似于普通话的“地”，后置于少数叠音词：慢慢~。好好~。
看	khoe34	后置于叠音动词后，表示尝试：试试~。买买~。吃吃~。
起来	chi33le44	后置于动词，表示动作开始：生活做~。
下去	wu13chi21	①后置于动词，表示动作继续：书好好叫读~。②动词，从上面到下面：我要~咧。
得落	teh5loh5	能……掉：绳解~。
煞落	sah5loh5	表示程度极深：我开心~咧。
煞	sah5	表示程度极深：我开心~咧。
牢则	lau21tseh4	补语“牢”后接表示完成的“则”：佗盯~我勿肯放。
勒啥个	leh21sa44keh21	等，等等，之类：书~摆摆好。
嘀嗒	tih5tah5	用在形容词后表示“有点儿”：小气~。
兮兮	shi44shi21	用在形容词后表示“有那么点儿”：神经~。
…发…发	fah5fah5	一…一…地：摇~摇~。看~看~。
八辣[记音]	pah5lah5	用在形容词后，表示“颇”“怪”：痴癫~。
头	dei113	①与“有”合用，表示值得或有兴趣做某事：伊个事体有点做~个。②与“呒不”合用，表示不值得或没兴趣做某事：佗有讲~的喏。③与“有啥”“呒啥”合用，表示值得或不值得做某事：伊个事体呒不啥个吃~。我搭你呒不啥个讲~。伊个电影有啥看~？④与“一”合用，表示动作迅速完成：佗拿物事一掼~就逃。⑤放在数量词后表示整体：伊个香烟是廿支~个。⑥与动量词合用，表示“一下子”或“几下子”：我只要一记~就可以拿物事搬落咧。伊个药要分三介[ka]~吃。⑦用在量词后，后接名词，表示物体的整体状态：阵~雨。⑧前接名词性、动词性和形容词性语素，构成名词：石~。寿~。
头势	dei13syu21	词缀，上接形容词，即“……的样子”：坏~。尴尬~。讨厌~。
咧	'''lih5'	表示变化、禁止等语气：我作业已经写好~。覅吵~，有人睏觉的。
式则[记音]	seh5tseh5	词缀，表示像……一样：痴子~。
阿	ah5	表示询问：你~去啊？你~吃过饭了萨[sah]？
啊	a44	①语气词，用在疑问句末减缓问话语气，和反问句末和缓语气：你阿去~？②语气词，用于祈使语气：你哪能勿去~？③表示感叹语气：天真蓝~。④表示陈述语气，带有提醒意味：你应该去讲一声个~。⑤叹词，表示感叹：你要当心~。~，出事体咧。
的	teh5	①用在形容词或动词后，表示状态：精赤~。你吃好~去看看。②用在陈述句的末尾，表示强调的语气：伊个地是我拖个~。
呢	ne44	语气词，用在疑问句末减缓问话语气：你阿去了~？
么	meh13	用在句中停顿处，点出话题：你~，听听你爷个闲话。
到[记音]	tau34	句末语气词，表示感叹：你漂亮~。
啦	'''la44'	表示疑问：你阿去~？
〇[无字]	'''lia44'	“咧”和“啊”的合音，表示感叹：你去过个~。
〇[无字]	ghou13	①表示幸灾乐祸的叹词：~，你闯祸咧。②表示带有警告的强调语气：看你哪亨[na han]办~。
〇[无字]	kueh5	“个”和“啘”的合音，表示肯定语气且语气较强：你应该记得~。
勒萨[记音]	leh5sah5	表示疑问，一般修饰完成的动作或状态，用于句尾：你阿懂~？
咧萨[记音]	lih5sah5	表示疑问，一般修饰将来的动作或状态，用于句尾：你阿要上班~？
啘	ueh5	语气助词，表示肯定，用法似“啊”而语气较强：我去个咧~。
咧啘[记音]	lih5ueh5	表示肯定语气，即“就……吧”：我只好去~。
咾	lau13	嘛，表示肯定：我当然晓得~。
欸	e44	表示招呼，喂：~，你过来萨[sah]。
嗳	e34	'表示否定或不同意：~，你哪好敖[''ngau]搭佗讲？'
噢	au34	①表示领悟，领会：~，我终于明白咧。②表示将信将疑：~，你去问佗个？③表示答应，允诺：~，我晓得咧。
切	tshih5	表示厌恶或反对：~，伊个人有毛病个。
〇[无字]	chih5	表示厌恶或反对：~，伊个人有毛病个。
喏	noh13	①表示给予：~，拿得去。②表示指向：~，来勒[le leh]前头房子里。
诺/喏	noh13	语气词，表示事情已经发生：佗已经去看个咧~。
咦	yi113	①表示惊异：~，你过来嘎？②表示厌恶：~，伊个西瓜难吃到[tau]。
嘎	ka44	“个”和“啊”的合音，表示疑问，类似于“的啊”：你去~？
唷	ioh5	表示惊讶或疑问：~，你特地过来嘎？
啊呀	ah5iah5	①表示着急：~，快点去医院嘛！②表示突然记起：~，我忘落一样物事。③表示兴奋：~，谢谢你！④表示厌恶埋怨：~，你覅轧来轧去。
唷	ioh5	表示惊异：~，雨落得大到勿得了。
喔唷	oh5ioh5	①表示惊讶：~，你结棍[cih kuen]的嘛！②表示感叹：~，重煞落咧。
喔唷唷	oh5ioh5ioh5	①表示惊讶或钦佩：~，了勿起的。②表示忍受不住：~，痛到[tau]。
嗯	'''n44'	①表示答应：~，好个。②表示疑问：~，你讲啥？③表示不同意：~，我覅吃。
〇[无字]	gha13	①什么，表示疑问：~？你再讲一遍。②什么，表示吃惊：~？你呒不去上课？
哼	hen44	①表示不高兴：~，佗有啥好？②表示恐吓：~，你搭[tah]我当心点。
呀	iah5	'表示惊讶：~，房子哪会变成敖[''ngau]样子啊？'
呣	m13	①表示疑问：~，啥个物事啊？②表示应喏：~，我晓得咧。
〇[无字]	biah5	句末语气词，表示同意，类似于“好了”：你过来~。
嘘	shiu44	①表示制止，驱逐：~，走开点。②表示要求轻声：~，轻一点。③诱使婴儿撒尿声。
哈哈	hah5hah5	①表示满意或得意：~，我得奖咧。②表示幸灾乐祸：~，你倒霉咧。③象声词，笑声。
哈	hah5	①表示满意或得意：~，我得奖咧。②表示幸灾乐祸：~，你倒霉咧。③象声词，笑声。
角笃笃[记音]	koh5toh5toh5	东西落地声。
〇[无字]	ban13	关门声。
〇—〇—[无字]	bin13 ban13	①关门声。②二踢脚的爆炸声。
勤令〇冷[无字，记音]	jin13lin44guan44lan21	许多东西落地发出的巨大的声音。
〇搭[无字，记音]	khueh5tah5	东西碎掉或者断掉的声音。
噼里啪啦	phih32li21phah21la23	①鞭炮的响声。②许多东西从高处落下的声音。
乒令乓冷[记音]	phin32lin21phan21lan23	①扔东西的声音。②玻璃打碎声。
滴答滴答	tih5tah5tih5tah5	时钟摆动声。
咿呀咿呀	i44ia44i44ia21	婴儿学语声。
呜哇	u44ua21	呼痛声，儿语。
呜哇呜哇	u44ua44u44ua21	婴儿哭声。
屑粒缩落[记音]	sih5lih5soh5loh5	①碎屑掉下的声音。②下小雨的声音。③很轻的翻纸物的声音。
滴粒搭辣[记音]	tih5lih5tah5lah5	水滴滴下的声音。
滴滴答答	tih5tih5tah5tah5	①雨点较稀的雨声。②滴水声。
乒令乓冷凑[记音]	phin32lin21phan21lan21tshei23	小孩划拳游戏声。
别粒薄落[记音]	bih21lih4boh4loh21	①物体落下声。②油炸声。
咪里妈啦[记音]	mi44li44ma44la21	吹喇叭声。
极粒〇落[无字，记音]	jih32lih21goh21loh23	乱翻东西发出的较大响声。
扑落通[记音]	phoh5loh5thon55	落水声。
叽里呱啦	ci32li21kua21la23	大声说话。
叽呱叽呱	ci32kua21ci21kua23	
叽里咕噜	ci32li21ku21lu23	轻声暗地说话声。
滴玲玲	tih5lin55lin55	铃声。
〇资〇资[无字，记音]	gen13tsy44gen44tsy21	形容费力时的声音。
